time(s),C_Active,L_Active,itp_Po,itp_Temp,itp_HR,itp_RR,itp_HRV
36.331813,0.0065924159,0.0032826519,-22.857453,0.018102931,152.48391,59.500588,0.053675675
36.431813,0.0064953942,0.0032169754,-22.809223,0.018030048,152.57142,59.500588,0.054030172
36.531813,0.0063983725,0.0038196642,-22.760994,0.017957165,152.44747,59.500588,0.054358714
36.631813,0.0063013508,0.0053220453,-22.712764,0.017884282,152.32352,59.500588,0.054666857
36.731813,0.0062043291,0.0068244265,-22.664534,0.017811399,152.19957,59.500588,0.054975001
36.831813,0.0061073074,0.0083268077,-22.686937,0.017738516,152.19641,59.500588,0.055283144
36.931813,0.0060102856,0.0098291888,-22.733233,0.017665633,152.30423,59.500588,0.055410048
37.031813,0.0059132639,0.01133157,-22.779529,0.01759275,152.41205,59.500588,0.055410048
37.131813,0.0058162422,0.012833951,-22.825825,0.017519867,152.51987,59.500588,0.055410048
37.231813,0.0057192205,0.014336332,-22.87212,0.017446984,152.74148,59.500588,0.055410048
37.331813,0.005700619,0.015838713,-22.897568,0.017374102,153.16494,59.500588,0.055410048
37.431813,0.0058559762,0.017341095,-22.915927,0.017294074,153.5884,59.500588,0.055410048
37.531813,0.0060113334,0.017566169,-22.934287,0.017197204,154.01186,59.500588,0.055410048
37.631813,0.0061666906,0.017724111,-22.952646,0.017100334,154.40145,59.500588,0.055410048
37.731813,0.0063220478,0.017882052,-22.971005,0.017003464,154.68057,59.500588,0.055595099
37.831813,0.006477405,0.018039994,-23.006803,0.016906594,154.9597,59.500588,0.055877081
37.931813,0.0066327622,0.018197936,-23.048559,0.016809724,155.23883,59.500588,0.056159064
38.031813,0.0067881194,0.018355877,-23.090316,0.016712854,155.48341,59.500588,0.056441046
38.131813,0.0069434766,0.018513819,-23.132073,0.016615983,155.48341,59.500588,0.05676067
38.231813,0.0070988338,0.018671761,-23.173829,0.016519113,155.48341,59.500588,0.057097112
38.331813,0.0073249307,0.018829702,-23.19735,0.016422243,155.48341,59.500588,0.057433555
38.431813,0.0075940618,0.019870176,-23.214608,0.016325373,155.48108,59.500588,0.057769998
38.531813,0.007863193,0.021894468,-23.231865,0.016228503,155.33387,59.500588,0.058125972
38.631813,0.0081323242,0.02391876,-23.249123,0.016131633,155.18666,59.500588,0.058489703
38.731813,0.0084014553,0.025943052,-23.26638,0.016034763,155.03945,59.500588,0.058853433
38.831813,0.0086705865,0.027967345,-23.300749,0.015937893,154.89223,59.500588,0.059217163
38.931813,0.0089397177,0.029991637,-23.341026,0.015841023,154.87661,59.494137,0.059501623
39.031813,0.0092088488,0.032015929,-23.381302,0.015744153,154.87661,59.477035,0.0597582
39.131813,0.00947798,0.034040221,-23.421579,0.015647283,154.87661,59.459932,0.060014778
39.231813,0.0097471112,0.036064513,-23.461856,0.015550412,154.87661,59.44283,0.060271356
39.331813,0.0092210647,0.038088805,-23.50523,0.015453542,155.30727,59.425728,0.060334549
39.431813,0.0086367627,0.036441174,-23.549679,0.015356672,155.86985,59.408626,0.060334549
39.531813,0.0080524607,0.034775225,-23.594128,0.015259802,156.43243,59.391523,0.060334549
39.631813,0.0074681587,0.033109276,-23.638578,0.015162932,156.995,59.374421,0.060334549
39.731813,0.0068838568,0.031443327,-23.683027,0.015066062,157.17532,59.357319,0.06028961
39.831813,0.0062995548,0.029777378,-23.722519,0.014969192,157.17532,59.340217,0.060230418
39.931813,0.0057152528,0.028111429,-23.760283,0.014872322,157.17532,59.323114,0.060171226
40.031813,0.0051309508,0.026445479,-23.798047,0.014775452,157.17532,59.306012,0.060112035
40.131813,0.0045466489,0.02477953,-23.835811,0.014678582,157.30873,59.28891,0.060379577
40.231813,0.0042432749,0.023113581,-23.873575,0.014581711,157.53212,59.284574,0.060752717
40.331813,0.0048226005,0.022694901,-23.894848,0.014484841,157.75552,59.298341,0.061125857
40.431813,0.0054019261,0.023434704,-23.910342,0.014387971,157.97891,59.312109,0.061498997
40.531813,0.0059812517,0.024174508,-23.925837,0.014291101,158.30757,59.325876,0.061813204
40.631813,0.0065605774,0.024914311,-23.941331,0.014194231,158.72723,59.339644,0.062108226
40.731813,0.007139903,0.025654115,-23.956825,0.014097361,159.14689,59.353411,0.062403248
40.831813,0.0077192286,0.026393918,-23.975396,0.014000491,159.56655,59.367178,0.06269827
